Time,WhiteAv,WhiteStdev,RGBAv,RGBStdev,RBAv,RBStdev
0,217.07,3.96,252.4,9.37,266.38,9.17
0.168,217.85,2.39,250.85,8.84,268.32,9.62
0.336,214.36,3.34,250.85,9.71,267.54,9.07
0.504,213.58,2.75,249.3,9.38,267.16,9.62
0.672,214.75,3.84,253.18,9.62,268.71,9.07
0.84,214.75,2.39,252.4,6.59,267.93,7.01
1.008,216.3,2.52,255.9,8.24,271.81,8.78
1.176,216.69,4.69,257.45,8.52,271.81,7.98
1.344,217.85,3.06,259.78,8.52,273.37,9.07
1.512,218.24,2.91,261.72,7.43,276.09,7.92
1.68,209.31,2.52,214.75,9.53,263.27,11.89
1.848,193.39,3.6,221.73,6.47,255.12,13.86
2.016,198.05,3.6,222.12,5.03,250.07,14.07
2.184,200.38,2.91,225.62,6.59,250.85,12.23
2.352,203.49,1.65,227.17,6.04,253.18,12.41
2.52,207.37,2.75,232.6,5.94,260.17,13.86
2.688,209.7,1.98,234.93,5.78,261.33,12.41
2.856,211.25,2.39,238.43,6.86,265.99,13.32
3.024,210.09,1.45,239.59,7.43,269.1,14.4
3.192,212.42,3.34,241.53,6.33,271.04,13.48
3.36,210.86,2.2,244.64,7.01,274.53,13.31
3.528,212.42,2.91,246.19,6.33,276.09,13.53
3.696,213.19,2.91,245.03,5.81,276.47,15.49
3.864,212.8,3.43,243.09,6.86,274.53,13.21
4.032,210.86,2.39,242.7,5.57,276.09,15.11
4.2,210.47,1.9,240.76,6.24,273.76,14.27
4.368,212.8,2.85,242.31,5.24,276.47,15.4
4.536,209.31,2.52,241.92,6.24,274.14,14.56
4.704,212.03,2.39,241.92,5.71,277.25,14.27
4.872,210.09,3.6,241.53,4.79,275.7,14.85
5.04,210.09,4.29,242.7,6.19,276.09,14.27
5.208,209.7,3.34,241.92,6.24,278.41,14.31
5.376,210.09,2.39,244.25,5.71,278.03,14.07
5.544,209.7,3.34,243.47,5.81,277.64,13.76
5.712,208.92,2.91,242.31,7.14,279.19,13.21
5.88,208.92,2.75,243.09,6.66,278.41,13.46
6.048,208.92,2.75,243.09,6.24,279.58,13.46
6.216,208.15,3.29,244.64,5.73,281.13,14.62
6.384,209.31,2.85,243.09,5.29,280.36,13.21
6.552,206.98,1.65,244.64,6.33,280.74,13.46
6.72,208.53,2.39,241.14,6.68,282.3,13.86
6.888,208.53,1.45,243.47,5.24,281.52,13.48
7.056,205.82,3.43,242.7,4.88,281.13,12.12
7.224,206.2,3.06,242.31,4.69,281.13,12.08
7.392,205.04,2.39,240.76,5.71,279.19,12.36
7.56,205.82,4.36,241.92,4.75,279.19,12.36
7.728,204.26,3.84,239.98,4.88,278.8,12.91
7.896,205.04,2.91,241.14,4.79,279.19,12.44
8.064,203.88,2.39,241.14,3.84,278.8,11.5
8.232,204.26,1.45,239.98,4.88,279.19,11.57
8.4,202.71,3.6,240.37,4.49,279.19,11.53
8.568,203.49,2.85,239.59,5.03,278.8,11.35
8.736,201.55,3.84,239.2,4.79,278.8,11.35
8.904,201.55,2.91,239.59,3.8,278.03,11.57
9.072,201.16,3.29,238.43,6.24,277.64,10.81
9.24,201.16,2.52,237.65,4.88,274.92,11.35
9.408,200.38,3.06,239.2,6.11,276.09,10.17
9.576,200.77,3.96,239.2,4.49,276.86,10.72
9.744,201.16,1.65,239.2,4.79,276.09,11.14
9.912,198.83,3.29,237.65,7.2,277.64,10.6
10.08,199.6,3.34,238.04,6.11,276.09,10.26
10.248,199.99,3.29,236.87,6.04,275.31,10.47
10.416,199.99,1.65,238.04,5.73,275.7,10.06
10.584,199.6,3.34,238.43,5.94,275.31,10.47
10.752,201.16,3.8,237.26,5.94,274.53,8.29
10.92,200.77,3.96,238.43,5.94,274.14,8.78
11.088,199.99,1.65,237.65,5.49,274.92,10.26
11.256,199.99,3.43,237.26,5.03,274.92,8.52
11.424,201.55,3.34,238.43,5.78,272.59,9.38
11.592,201.55,3.84,238.04,4.39,274.14,8.99
11.76,202.32,2.52,238.43,5.78,273.76,8.52
11.928,199.6,3.34,236.1,4.94,272.2,8.29
12.096,198.05,4.29,234.16,5.49,271.04,9.17
12.264,196.11,2.2,232.22,5.24,268.32,7.98
12.432,194.56,2.91,229.11,4.94,265.99,7.14
12.6,191.84,3.43,226.39,5.41,264.44,9.33
12.768,190.68,2.85,224.45,5.03,259,8.31
12.936,190.29,2.39,221.35,4.69,255.9,7.43
13.104,189.9,2.91,220.18,3.84,253.18,8.09
13.272,189.51,3.43,219.4,4.39,249.3,7.26
13.44,190.68,3.8,220.18,3.06,246.58,5.94
13.608,192.23,3.34,224.45,5.03,246.97,6.88
13.776,189.51,2.52,224.84,4.69,247.36,6.75
13.944,188.73,1.45,223.67,4.29,246.19,6.47
14.112,189.12,3.06,224.06,5.24,245.8,6.88
14.28,187.18,2.52,224.06,5.41,246.97,6.11
14.448,187.96,3.96,224.06,4.49,246.19,6.33
14.616,187.18,3.29,224.45,5.03,246.58,5.78
14.784,185.63,3.06,222.51,6.33,245.42,5.94
14.952,184.85,2.52,222.12,6.66,247.74,5.94
15.12,184.08,3.6,222.51,4.69,243.86,5.49
15.288,185.63,1.45,221.73,6.11,246.58,5.94
15.456,183.3,3.96,219.79,5.78,244.64,6.33
15.624,182.13,3.06,218.63,6.66,243.47,6.33
,,,,,,
,,,,,,
,,,,,,
,,,,,,
