WhitePARII_Av,WhitePARII_StDev,WhiteETRII_Av,WhiteETRII_StDev,RGBPARII_Av,RGBPARII_StDev,RGBETRII_Av,RGBETRII_StDev,RBPARII_Av,RBPARII_StDev,RBETRII_Av,RBETRII_StDev
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,0,nan,nan,0,0,nan,nan,0,0,nan,nan
0,0,0,0,0.8503064,0.8503064,0.717518825,0.717518825,0,0,0,0
0.847696867,0.017785019,0.824160858,0.01688638,1.279675,0.4209378,1.235873612,0.401839811,0.832641867,0.008009235,0.809744502,0.007022277
1.695393733,0.035570037,1.658547901,0.035384059,5.5354224,3.817948,5.198632563,3.514096028,1.665283733,0.01601847,1.621814366,0.015917625
9.324665533,0.195635205,8.746229682,0.16554725,17.9028038,8.4566946,16.00240661,7.035072811,9.159060533,0.088101583,8.595590829,0.087270773
26.27860287,0.551335578,22.03108702,0.278589597,36.6938526,10.0729994,31.51452426,7.628690223,25.81189787,0.24828628,21.80553202,0.579827085
46.62332767,0.978176026,37.34329515,0.552114428,57.627529,10.396983,47.75450537,7.31739407,45.79530267,0.440507916,36.85225398,0.996363272
67.81574933,1.422801492,53.40943352,0.908001807,82.8169528,14.1179768,66.07691471,9.612002926,66.61134933,0.640738788,52.45625428,1.036544322
96.6374428,2.027492126,74.68048964,1.371956167,112.7210004,14.8249596,87.19429675,9.950297438,94.9211728,0.913052772,72.93765141,1.142997886
127.15453,2.667752797,95.97019041,1.774054578,147.310164,18.499584,110.5947807,11.60473222,124.89628,1.201385227,94.45871546,1.146811521
165.300889,3.468078636,119.3276667,2.247637914,194.266709,26.812955,138.748369,14.19030267,162.365164,1.561800795,119.6951008,1.282379381
220.4011853,4.624104848,146.0441496,3.03638598,258.31369,35.042018,169.6635888,13.98512158,216.4868853,2.08240106,150.9200486,1.633955506
292.455419,6.135831433,170.5163962,4.173065557,335.199575,38.935241,196.412096,10.13082297,287.261444,2.763186022,182.1905799,2.476943248
372.9866213,7.825408204,187.7963673,5.085602597,425.3073632,47.4629952,216.9181089,7.809718968,366.3624213,3.524063332,206.0706436,3.835562314
471.3194579,9.888470367,200.2510407,6.211469521,532.0846496,54.6267664,230.493261,4.191305401,462.9488779,4.453134574,224.8045362,5.290499158
584.910838,12.27166287,206.3124444,6.517293861,655.0936348,62.5649668,237.54581,1.346025891,574.522888,5.526372043,236.1483837,6.566481268
715.4561555,15.01055574,208.3715318,6.761567924,790.5163708,65.742174,239.7754101,0.492200333,702.7497355,6.75979421,241.6950669,7.1092968
853.6307447,17.90951378,206.7751689,7.20017132,945.5340926,80.7857322,237.6296766,2.841442753,838.4703597,8.065299489,242.2667261,7.968323953
1023.170118,21.46651751,201.0139999,6.946692322,1119.414525,82.9187246,230.7834216,3.493026453,1004.998733,9.667146458,238.3960653,8.324305569
1198.643369,25.14801636,194.493878,6.688774619,1325.210955,110.9565544,223.128388,4.752232427,1177.355599,11.32505807,231.5478005,8.57550383
1431.760008,30.03889649,184.6432262,6.671079611,1573.384199,122.9770686,210.3617909,8.192708268,1406.332113,13.52759765,221.526523,8.563803114
1691.155249,35.4811122,171.9901848,5.708799417,nan,nan,nan,nan,1661.120524,15.97842352,209.0152674,7.14182645
