Rep,WhiteAv,WhiteStDev,RGBAv,RGBStDev,RBAv,RBStDev,Wavelength
1,3.007,0.028,2.884,0.063,2.941,0.036,440
1,2.362,0.027,2.26,0.055,2.284,0.027,480
1,0.716,0.008,0.686,0.02,0.678,0.015,540
1,1.291,0.014,1.263,0.042,1.254,0.033,590
1,1.585,0.014,1.59,0.031,1.559,0.033,625
2,2.76,0.106,2.628,0.115,2.68,0.048,440
2,2.14,0.08,2.056,0.08,2.039,0.038,480
2,0.653,0.021,0.626,0.023,0.607,0.017,540
2,1.164,0.044,1.146,0.05,1.128,0.048,590
2,1.488,0.034,1.445,0.048,1.413,0.031,625
3,2.633,0.045,2.458,0.025,2.613,0.058,440
3,2.054,0.039,1.94,0.018,2.016,0.043,480
3,0.644,0.017,0.604,0.007,0.613,0.019,540
3,1.163,0.034,1.128,0.026,1.126,0.027,590
3,1.476,0.031,1.405,0.018,1.415,0.026,625
4,2.704,0.077,2.778,0.091,2.881,0.053,440
4,2.181,0.087,2.172,0.047,2.271,0.051,480
4,0.696,0.028,0.698,0.004,0.709,0.014,540
4,1.264,0.054,1.28,0.007,1.31,0.025,590
4,1.566,0.047,1.569,0.013,1.573,0.026,625
5,2.715,0.007,2.684,0.069,2.775,0.071,440
5,2.189,0.01,2.194,0.062,2.185,0.03,480
5,0.705,0.011,0.705,0.018,0.693,0.012,540
5,1.278,0.03,1.298,0.047,1.257,0.021,590
5,1.567,0.017,1.592,0.029,1.57,0.025,625
6,2.483,0.082,2.52,0.013,2.423,0.034,440
6,1.941,0.065,1.984,0.039,1.926,0.031,480
6,0.596,0.023,0.616,0.009,0.595,0.008,540
6,1.103,0.054,1.131,0.014,1.082,0.017,590
6,1.408,0.03,1.428,0.014,1.383,0.013,625
